name,date,amount,rate_100
Долар США (USD),01.01.2010,100,798.5
Долар США (USD),02.01.2010,100,798.5
Долар США (USD),03.01.2010,100,798.5
Долар США (USD),04.01.2010,100,798.5
Долар США (USD),05.01.2010,100,798.5
Долар США (USD),06.01.2010,100,798.5
Долар США (USD),07.01.2010,100,798.5
Долар США (USD),08.01.2010,100,798.5
Долар США (USD),09.01.2010,100,798.5
Долар США (USD),10.01.2010,100,798.5
Долар США (USD),11.01.2010,100,798.5
Долар США (USD),12.01.2010,100,799.05
Долар США (USD),13.01.2010,100,799.84
Долар США (USD),14.01.2010,100,800.4
Долар США (USD),15.01.2010,100,800.24
Долар США (USD),16.01.2010,100,800.24
Долар США (USD),17.01.2010,100,800.24
Долар США (USD),18.01.2010,100,800.12
Долар США (USD),19.01.2010,100,800.12
Долар США (USD),20.01.2010,100,800.55
Долар США (USD),21.01.2010,100,800.55
Долар США (USD),22.01.2010,100,801
Долар США (USD),23.01.2010,100,801
Долар США (USD),24.01.2010,100,801
Долар США (USD),25.01.2010,100,800.84
Долар США (USD),26.01.2010,100,800.8
Долар США (USD),27.01.2010,100,800.48
Долар США (USD),28.01.2010,100,800.24
Долар США (USD),29.01.2010,100,800.12
Долар США (USD),30.01.2010,100,800.12
Долар США (USD),31.01.2010,100,800.12
Долар США (USD),01.02.2010,100,799.9
Долар США (USD),02.02.2010,100,799.93
Долар США (USD),03.02.2010,100,800.04
Долар США (USD),04.02.2010,100,800.12
Долар США (USD),05.02.2010,100,800.12
Долар США (USD),06.02.2010,100,800.12
Долар США (USD),07.02.2010,100,800.12
Долар США (USD),08.02.2010,100,800.04
Долар США (USD),09.02.2010,100,800.74
Долар США (USD),10.02.2010,100,800.93
Долар США (USD),11.02.2010,100,801
Долар США (USD),12.02.2010,100,801
Долар США (USD),13.02.2010,100,801
Долар США (USD),14.02.2010,100,801
Долар США (USD),15.02.2010,100,800.25
Долар США (USD),16.02.2010,100,800.2
Долар США (USD),17.02.2010,100,800.24
Долар США (USD),18.02.2010,100,800.24
Долар США (USD),19.02.2010,100,799.97
Долар США (USD),20.02.2010,100,799.97
Долар США (USD),21.02.2010,100,799.97
Долар США (USD),22.02.2010,100,799.8
Долар США (USD),23.02.2010,100,799.03
Долар США (USD),24.02.2010,100,799
Долар США (USD),25.02.2010,100,799
Долар США (USD),26.02.2010,100,799
Долар США (USD),27.02.2010,100,799
Долар США (USD),28.02.2010,100,799
Долар США (USD),01.03.2010,100,799
Долар США (USD),02.03.2010,100,799
Долар США (USD),03.03.2010,100,798.5
Долар США (USD),04.03.2010,100,798.4
Долар США (USD),05.03.2010,100,798.42
Долар США (USD),06.03.2010,100,798.42
Долар США (USD),07.03.2010,100,798.42
Долар США (USD),08.03.2010,100,798.42
Долар США (USD),09.03.2010,100,798.38
Долар США (USD),10.03.2010,100,798.4
